km cluster,,,Class,Title,Description,km cluster
0,1,110514,1,"Police, Peddlers Clash in Venezuelan City",Police and National Guard troops fired tear gas and plastic bullets at crowds of angry street vendors in Venezuela's capital Wednesday as officers tried to remove merchants from zones where they are barred from selling their wares.,0
0,1,64808,1,Cleric charged on 16 counts,"LONDON, England -- Muslim cleric Abu Hamza al-Mazri has appeared in a British court charged with a string of offences including soliciting to murder non-Muslims, stirring up racial hatred and possessing terrorist documents.",0
0,4,49882,4,Wolverine Wanders Nearly 500 Miles (AP),"AP - A wolverine wearing a global positioning system collar wandered nearly 550 miles in seven weeks, including a trip from Pocatello, Idaho, to the northern reaches of Yellowstone National Park.",0
0,3,50578,3,"Record high oil prices, economic data put pressure on stock &lt;b&gt;...&lt;/b&gt;",TORONTO (CP) - Record high oil prices and disappointing economic data sent stocks lower Tuesday morning. The price of crude oil for November delivery ran up 77 cents to \$50.,0
0,3,113662,3,Fed Seen Nudging Rates Higher (Reuters),"Reuters - Federal Reserve officials are\expected to nudge interest rates up on Tuesday for a fifth time\this year, another small step in a campaign to gradually lift\borrowing costs before inflation rears its head.",0
0,1,18493,1,EU to Draft Sanctions Against Sudan," VALKENBURG, Netherlands (Reuters) - The European Union will  draw up sanctions against Sudan, with a view to implementing  them if the United Nations calls for such measures, the Dutch  foreign minister said on Saturday.",0
0,1,46916,1,Zawahri Urges Muslims to Hit U.S. Allies' Interests," DUBAI (Reuters) - An audio tape attributed to Al Qaeda's  deputy leader urged Muslims Friday to organize resistance  against ""crusader America"" and its allies throughout the world.",0
0,1,59251,1,IRA 'terror arrest' in Tenerife,An IRA suspect wanted in connection with a NI bomb attack on soldiers in 1996 is arrested by Spanish police.,0
0,1,58613,1,Blast Near Convoy of Palestinian Security Chief," GAZA (Reuters) - Moussa Arafat, cousin of Yasser Arafat and  a top Palestinian security chief, survived an apparent car bomb  assassination attempt in Gaza City on Tuesday in an attack that  signaled deepening internal faction fighting.",0
0,1,97246,1,Ukraine's Kuchma Calls for Calm on Eve of Poll, KIEV (Reuters) - Ukraine's outgoing president on Saturday  implicitly called on people to vote for his prime minister in a  close presidential race and told them to shun any protests  urged by the opposition candidate.,0
1,4,20391,4,Oracle #39;s Improved Business Suite,"At the Open World conference, which commenced yesterday in London, Oracle laid out the most comprehensive offering yet of its Business Suite of applications and unveiled new procurement applications for contracts and services.",1
1,3,103831,3,Warburg to buy Kotak bank pie,"Foreign Institutional Investor Warburg Pincus International will pick up 2.75 per cent stake in Kotak Mahindra Bank for Rs 75.9 crore (Rs 759 million), subject to shareholders #39; approval.",1
1,4,8833,4,Cisco buys IP application vendor P-Cube,"Cisco has bought IP service control vendor P-Cube of Sunnyvale, California, in a cash deal worth about \$200m. The company says the deal should allow its customers to run advanced IP services such as voice ",1
1,3,104654,3,Witness Deferred to Eisner on Ovitz Firing,"A former director of the Walt Disney Company, Richard A. Nunis, testified Monday that he deferred to the decision of Michael D. Eisner, the chief ",1
1,4,101927,4,Porn Prohibitionists Miss Point,"If we're going to start worrying about porn, doesn't it make sense to actually study its role in society rather than make stuff up? Commentary by Regina Lynn.",1
1,4,4960,4,Kazaa Owner Cheers File-Swapping Decision (AP),"AP - The distributor of file-swapping giant Kazaa on Friday welcomed a U.S. court's ruling that two of its rivals are not legally liable for the songs, movies and other copyright works shared online by their users.",1
